condition,attractor,library,term,p_value,adj_p_value,overlap,genes
BCR-stimulated,A1,Reactome_2022,MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155,2.0830781545225572e-14,1.1456929849874066e-12,10/102,IKBIP;MAPK11;JUN;MAP2K1;LY96;FOS;TLR4;TP53
BCR-stimulated,A2,KEGG_2021_Human,B cell receptor signaling pathway,1.845383850342612e-24,3.044883353065309e-22,13/81,LYN;JUN;MAP2K1;SYK;FOS;CD79B;CD79A;BLNK
BCR-stimulated,A2,KEGG_2021_Human,Fc epsilon RI signaling pathway,4.237627002713472e-23,3.2518907728694537e-21,12/68,LYN;IL4;MAP2K1;CSF2;IL5;SYK;PLCG2;BTK
BCR-stimulated,A2,KEGG_2021_Human,T cell receptor signaling pathway,5.912528677944461e-23,3.2518907728694537e-21,13/104,IL10;JUN;MAP2K1;CSF2;FOS;TNF;IL2;IL4
BCR-stimulated,A2,KEGG_2021_Human,Osteoclast differentiation,1.1948238192715604e-19,4.9286482544951876e-18,12/127,JUN;MAP2K1;SYK;IFNG;STAT1;BLNK;PLCG2;BTK
BCR-stimulated,A2,KEGG_2021_Human,Inflammatory bowel disease,2.1598544055666923e-16,7.127519538370084e-15,9/65,IL10;IL4;JUN;IL5;IFNG;STAT1;TNF;TLR4
BCR-stimulated,A2,KEGG_2021_Human,Leishmaniasis,1.0782994840628777e-15,2.9653235811729134e-14,9/77,IL10;IL4;JUN;IFNG;STAT1;FOS;TNF;TLR4
BCR-stimulated,A2,KEGG_2021_Human,C-type lectin receptor signaling pathway,1.7923463656756143e-14,4.224816433378233e-13,9/104,IL10;JUN;RRAS;SYK;STAT1;PLCG2;TNF;IL2
BCR-stimulated,A2,KEGG_2021_Human,Natural killer cell mediated cytotoxicity,1.5051279831907858e-13,3.1043264653309957e-12,9/131,MAP2K1;CSF2;SYK;IFNG;PLCG2;GRB2;TNF;SOS2
BCR-stimulated,A2,KEGG_2021_Human,Th1 and Th2 cell differentiation,5.822816849590974e-13,9.8956475487709e-12,8/92,IL4;JUN;IL5;IFNG;STAT1;FOS;IL2;MAPK3
BCR-stimulated,A2,KEGG_2021_Human,Coronavirus disease,5.997362150770243e-13,9.8956475487709e-12,10/232,JUN;CSF2;SYK;STAT1;PLCG2;FOS;TNF;TLR4
BCR-stimulated,A2,Reactome_2022,Immune System R-HSA-168256,1.1052623285092389e-23,4.896312115295928e-21,26/1943,CSF2;LY96;TNF;CD79B;CD79A;MUC1;BLNK;PLCG2
BCR-stimulated,A2,Reactome_2022,Signaling By Interleukins R-HSA-449147,4.8404646106211386e-23,1.0721629112525822e-20,18/453,IL10;LYN;JUN;MAP2K1;CSF2;SYK;STAT1;FOS
BCR-stimulated,A2,Reactome_2022,Cytokine Signaling In Immune System R-HSA-1280215,2.604270370719739e-21,3.8456392474294814e-19,19/702,IL10;LYN;JUN;MAP2K1;CSF2;SYK;STAT1;FOS
BCR-stimulated,A2,Reactome_2022,Antigen Activates B Cell Receptor Leading To Second Messenger Generation R-HSA-983695,5.223289573721292e-17,5.7847932028963305e-15,8/31,CD79B;LYN;CD79A;SYK;BLNK;PLCG2;BTK;GRB2
BCR-stimulated,A2,Reactome_2022,FCERI Mediated MAPK Activation R-HSA-2871796,9.395870561063792e-15,8.324741317102518e-13,7/29,LYN;JUN;SYK;PLCG2;GRB2;FOS;MAPK3
BCR-stimulated,A2,Reactome_2022,Interleukin-2 Family Signaling R-HSA-451927,2.2739820263231433e-13,1.4391057680873603e-11,7/44,CSF2;IL5;SYK;STAT1;GRB2;SOS2;IL2
BCR-stimulated,A2,Reactome_2022,"Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988",2.2739820263231433e-13,1.4391057680873603e-11,7/44,LYN;CSF2;IL5;SYK;BLNK;GRB2;IL2
BCR-stimulated,A2,Reactome_2022,Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016,2.7654370502353265e-13,1.531360766567812e-11,9/140,JUN;MAP2K1;RIPK3;PLCG2;BTK;LY96;FOS;TLR4
BCR-stimulated,A2,Reactome_2022,Infectious Disease R-HSA-5663205,6.219013585307602e-13,3.061136686990297e-11,15/961,IL10;LYN;JUN;MAP2K1;HDAC3;SYK;STAT1;CD79B
BCR-stimulated,A2,Reactome_2022,Disease R-HSA-1643685,9.810880164299772e-13,4.2110013001967984e-11,18/1736,IL10;LYN;JUN;MAP2K1;HDAC3;SYK;STAT1;LY96
