sa1222,LMNB1_rna,s1625,STAT4 homodimer_phosphorylated
sa1223,HNRNPA2B1,s1626,HNRNPA2B1_rna
sa1224,RPLP0,s1627,RPLP0_rna
sa1225,ARF1,s1628,ARF1_rna
sa1226,PSME2,s1629,PSME2_rna
sa1227,LMNB1,s1630,LMNB1_rna
sa1231,"NFATC1,2,3",s2186,"RCAN&!MAPK8,9,10_phosphorylated"
sa1235,PLCG,s1638,(BTK_phosphorylated|LAT_phosphorylated)
sa1237,PRKC,s1640,DAG_simple_molecule
sa1243,JUN_phosphorylated,s1646,"(MAPK8,9,10_phosphorylated|MAPK11,12,13,14_phosphorylated|MAPK3_phosphorylated)"
sa1244,FOS_phosphorylated,s1647,"(MAPK8,9,10_phosphorylated|MAPK3_phosphorylated|MAPK11,12,13,14_phosphorylated)"
sa1245,CAMKMT,s1648,CAMKMT
sa1247,TLR10_ligand_simple_molecule,s1650,TLR10_ligand_simple_molecule
sa1250,TNFRSF17,s1654,TNFRSF17
sa1256,SOCS3_rna,s1664,STAT1/STAT2/IRF9_complex_nucleus
sa1258,SOCS3,s1666,SOCS3_rna
sa1259,SOCS2,s1667,SOCS1_rna
sa1260,IFNG,s1668,(STAT4 homodimer_phosphorylated|CX3CL1/CX3CR1_complex|AP1_complex)
sa1265,TNF_Secreted_molecules,s1672,(ICOSLG/ICOS_complex|AP1_complex|RELA/NFKB1_complex)&!MIR181D_antisense_rna
sa1269,SRC_phosphorylated,s1676,GNAI
sa1271,MAP2K1_phosphorylated,s1679,RAF
sa1279,MAPK3_phosphorylated,s1741,(MAP2K1_phosphorylated|MHC1/B2M/LILR_complex)&!DUSP5&!DUSP6
sa1281,Cell_Proliferation/Survival_phenotype,s1687,"(NFATC1,2,3|MTORC1_complex|CSF2|RELA/NFKB1_complex|IL2)"
sa1296,LAT_phosphorylated,s1711,(LCK/ZAP70_complex|Allergen/IgE/FCERI_complex)
sa1298,CCL25,s1715,CCL25
sa1301,SHC1,s1719,(SRC_phosphorylated|IL21/IL21R_complex)
sa1302,GRB2,s1720,(SHC1|BLNK_phosphorylated|LAT_phosphorylated|FLT3LG/FLT3_complex)
sa1303,SOS2,s1721,GRB2
sa1304,RRAS,s1722,SOS2
sa1305,RAF,s1723,RRAS
sa131,TRAF6,s189,"(IRAK4/IRAK1,2/IRAKM_complex|TLR3/dsRNA/PolyIC_complex|TICAM1|CD40LG/CD40_complex)&!TNFAIP3"
sa1316,"MAPK8,9,10_phosphorylated",s1742,(MHC1/B2M/LILR_complex|MAP2K7_phosphorylated|MAP2K4_phosphorylated|CpG_DNA/TLR9_complex)
sa1318,BLNK_phosphorylated,s1744,SYK_phosphorylated
sa1321,PTK2,s1750,VCAM/ITGA4/ITGB1_complex
sa1322,FAS,s1751,FAS_rna
sa1323,FASLG,s1752,FASLG
sa1331,CD279,s1784,CD279
sa1336,DAXX,s1791,(FASL/FASR_complex|TGF/TGFBR1_complex)
sa1339,MAP3K5_phosphorylated,s2074,DAXX
sa1345,TRADD,s1806,(TNF/TNFR1_complex|TNFSF15/TNFRSF25_complex)
sa1355,TGFB1,s1819,TGFB1
sa1366,SMAD4,s1837,SMAD4
sa1371,SNAI1_rna,s1843,SMAD2/SMAD3/SMAD4_complex
sa1376,VIM,s1848,SNAI1
sa1377,Fibrosis_phenotype,s1849,VIM
sa1378,SNAI1,s2187,SNAI1_rna
sa1384,CASP7,s1861,CASP8&!XIAP_Cell_active&!BIRC2_Cell
sa1385,CASP8,s1859,FADD_phosphorylated&!CFLAR
sa1395,IL1,s1873,IL1
sa1396,IL1R1,s1874,IL1R1_rna
sa140,NFKB1_rna,s202,RELA/NFKB1_complex
sa141,NFKB2_rna,s203,RELA/NFKB1_complex
sa1446,LAMP3_rna,s1935,STAT1/STAT2/IRF9_complex_nucleus
sa1447,LAMP3,s1936,LAMP3_rna
sa1448,MUC1,s1937,!MIR145_antisense_rna
sa1452,"CD80,86_rna",s1939,IRF3
sa1461,CXCL9_Secreted_molecules,s1962,STAT1/STAT2/IRF9_complex_nucleus
sa1462,CXCL10_Secreted_molecules,s1963,(STAT1/STAT2/IRF9_complex_nucleus|STAT1 homodimer_phosphorylated)
sa1463,CXCL11_Secreted_molecules,s1964,STAT1/STAT2/IRF9_complex_nucleus
sa1468,CXCL11_Extracellular_ligands,s1969,CXCL11_Extracellular_ligands
sa1469,CXCL10_Extracellular_ligands,s1970,CXCL10_Extracellular_ligands
sa1470,CXCL9_Extracellular_ligands,s1971,CXCL9_Extracellular_ligands
sa1473,IRF5_nucleus,s2189,IRF5_Cell&TRAF6
sa1474,IRF1_nucleus,s2190,IRF1_Cell
sa1476,CD72,s1979,CD72
sa1483,PTPRC,s1988,PTPRC
sa1484,CTLA4,s1989,CTLA4
sa1487,PPP2R1A,s1991,CD80-86/CTLA4_complex
sa1509,IL2,s2060,AP1_complex
sa1510,IL4,s2061,AP1_complex
sa1511,IL5,s2062,AP1_complex
sa1512,CSF2,s2063,AP1_complex
sa1517,RAC1,s2069,Allergen/IgE/FCERI_complex
sa1521,MAP2K7_phosphorylated,s2078,(MAP3K1_phosphorylated|MAP3K7_phosphorylated)
sa1522,MAP2K4_phosphorylated,s2079,(Allergen/IgE/FCERI_complex|MAP3K1_phosphorylated|MAP3K7_phosphorylated)
sa1524,MAP3K1_phosphorylated,s2075,RAC1
sa1530,"MAPK11,12,13,14_phosphorylated",s2315,(MAP2K6_phosphorylated|MAP2K3_phosphorylated|CpG_DNA/TLR9_complex)
sa1542,GNAI,s2093,(CX3CL1/CX3CR1_complex|CXCL6/CXCR1_complex|CXCL6/CXCR2_complex|CXCL5/CXCR2_complex|CXCL9-10-11/CXCR3_complex|CXCL12/CXCR4_complex|CXCL13/CXCR5_complex|CXCL16/CXCR6_complex|CCL16/CCR1_complex|CCL2/CCR2_complex|CCL11/CCR3_complex|CCL5/CCR5_complex|CCL25/CCR9_complex|C3a/CA3R1_complex|C5a/C5AR1_complex|LXA4-CCL23/FPR2_complex|CCL19/CCRL2_complex|CCL19-21/CCR7_complex|CCL20/CCR6_complex)
sa1566,BIRC2_rna,s2117,RELA/NFKB1_complex
sa1567,CFLAR_rna,s2118,RELA/NFKB1_complex
sa1568,XIAP_rna,s2119,RELA/NFKB1_complex
sa1569,BCL2L1_rna,s2120,(RELA/NFKB1_complex|STAT3 homodimer_phosphorylated_nucleus)
sa1570,BCL2_rna,s2121,(RELA/NFKB1_complex|MTORC1_complex|STAT3 homodimer_phosphorylated_nucleus)&!BAD
sa1571,BCL2A1_rna,s2122,RELA/NFKB1_complex
sa1575,GADD45B_rna,s2126,(RELA/NFKB1_complex|TP53_phosphorylated)
sa1582,NFKBIA_rna,s2132,RELA/NFKB1_complex
sa1595,TNFSF10,s2146,TNFSF10
sa1596,"TNFRSF10A,B",s2148,TNFRSF10A_rna
sa1598,CXCL1_Secreted_molecules,s2150,RELA/NFKB1_complex
sa1599,CXCL2,s2151,RELA/NFKB1_complex
sa16,IRF9,s23,IRF9_rna
sa1600,CXCL3,s2152,RELA/NFKB1_complex
sa1601,VCAM1,s2153,(RELA/NFKB1_complex|STAT1 homodimer_phosphorylated)
sa1602,PTGS2,s2154,RELA/NFKB1_complex
sa1603,IL1B,s2155,RELA/NFKB1_complex
sa1604,CXCL12_Secreted_molecules,s2156,NFKB2/RELB_complex
sa1605,CCL13,s2157,NFKB2/RELB_complex
sa1606,CCL19_Secreted_molecules,s2158,NFKB2/RELB_complex
sa1607,CCL21_Secreted_molecules,s2159,NFKB2/RELB_complex
sa1608,BIRC2_Cell_1,s2161,BIRC2_Cell&RIPK1/TRAF2/TRAF5_complex
sa1609,CFLAR,s2162,CFLAR_rna
sa1611,MAX_phosphorylated,s2164,"MAPK11,12,13,14_phosphorylated"
sa1612,DUSP5,s2165,DUSP5
sa1613,DUSP6,s2166,DUSP6
sa1614,XIAP_Cell,s2167,XIAP_rna
sa1615,MDM2_Cell,s2191,MDM2_rna
sa1616,GORAB,s2192,GORAB
sa1617,MDM2_Cell_active,s2194,MDM2_Cell&AKT&!GORAB
sa1619,TNFRSF10A_rna,s2196,TP53_phosphorylated
sa1624,SESN1_rna,s2201,TP53_phosphorylated
sa1625,RRM2_rna,s2202,TP53_phosphorylated
sa1626,CD82_rna,s2203,TP53_phosphorylated
sa1627,SHISA5_rna,s2204,TP53_phosphorylated
sa1644,BST2,s629,BST2_rna
sa1645,XAF1,s627,XAF1_rna
sa1646,GBP2,s626,GBP2_rna
sa1647,MX2,s622,MX2_rna
sa1648,MX1,s621,MX1_rna
sa1649,GBP1,s732,GBP1_rna
sa1651,GBP3,s1714,GBP3_rna
sa1652,GBP4,s731,GBP4_rna
sa1655,GBP6,s734,GBP6_rna
sa1656,GBP5,s730,GBP5_rna
sa1682,CISH,s2225,CISH_rna
sa1684,RIPK1_rna,s2227,STAT1/STAT2/IRF9_complex_nucleus
sa1685,RIPK1_Cell_active,s2228,(TRAIL/TRAILR_complex|EIF2AK2 homodimer|TICAM1)&RIPK1_Cell
sa1686,RIPK3,s2229,!TNFAIP3&!RIPK1_Cell_active
sa1688,FAS_rna,s2231,TP53_phosphorylated
sa1690,MARCHF8,s2233,BST2
sa1691,XIAP_Cell_active,s2234,XIAP_Cell&!XAF1
sa1693,ETS1_rna,s2236,SP100
sa1697,ETS1,s2237,ETS1_rna
sa1698,SP100,s724,SP100_rna
sa1699,MMP9,s2242,ETS1
sa1700,Matrix_degradation_phenotype,s2245,MMP9
sa1703,Angiogenesis_phenotype,s2248,(CXCL10_Secreted_molecules|CXCL1_Secreted_molecules|CCL2_Secreted_molecules|CCL5_Secreted_molecules|CXCL2)&!CD82_rna
sa1705,VEGFA,s2250,VEGFA
sa1708,MIR181D_antisense_rna,s2254,MIR181D_antisense_rna
sa1710,GLUT1_rna,s2256,GLUT1_rna
sa1711,GLUT1,s2257,GLUT1_rna
sa1717,FLT3LG,s2264,FLT3LG
sa1721,CXCL1_Extracellular_ligands,s2269,CXCL1_Extracellular_ligands
sa1725,"CD80,86",s2273,"CD80,86_rna"
sa1726,HLA-C,s634,HLA-C_rna
sa1727,HLA-B,s633,HLA-B_rna
sa1728,HLA-A,s632,HLA-A_rna
sa1729,HLA-G,s635,HLA-G_rna
sa1730,HLA-H,s636,HLA-H_rna
