alias_id,species_id,biological_name
sa1289,s1697,s1697
sa129,s336,s336
sa1291,s1704,s1704
sa1292,s1705,s1705
sa1293,s1707,s1707
sa1294,s1708,s1708
sa1295,s1709,LAT
sa1296,s1711,LAT
sa1298,s1715,CCL25
sa1299,s1717,s1717
sa130,s187,TRAF6
sa1300,s1718,s1718
sa1301,s1719,SHC1
sa1302,s1720,GRB2
sa1303,s1721,SOS2
sa1304,s1722,RRAS
sa1305,s1723,RAF
sa1306,s1725,SIGLEC1
sa1307,s1726,s1726
sa1308,s1727,s1727
sa1309,s1729,LILRA3
sa131,s189,TRAF6
sa1311,s1732,s1732
sa1312,s1733,s1733
sa1314,s1738,s1738
sa1315,s1739,"MAPK8,9,10"
sa1316,s1742,"MAPK8,9,10"
sa1317,s1743,BLNK
sa1318,s1744,BLNK
sa1319,s1745,s1745
sa132,s194,s194
sa1320,s1749,PTK2
sa1321,s1750,PTK2
sa1322,s1751,FAS
sa1323,s1752,FASLG
sa1324,s1754,s1754
sa1325,s1755,s1755
sa133,s195,s195
sa1331,s1784,CD279
sa1332,s1788,s1788
sa1333,s1787,s1787
sa1334,s1545,PTPN6
sa1335,s1790,DAXX
sa1336,s1791,DAXX
sa1337,s1792,MAP3K5
sa1339,s2074,MAP3K5
sa134,s192,MAP3K7
sa1342,s1802,TNFRSF1A
sa1343,s1803,s1803
sa1344,s1804,s1804
sa1345,s1806,TRADD
sa1346,s1807,s1807
sa1347,s1808,s1808
sa1348,s1809,s1809
sa1349,s1810,s1810
sa135,s999,s999
sa1355,s1819,TGFB1
sa1356,s1820,TGFBR1
sa1357,s1822,s1822
sa1358,s1823,s1823
sa1359,s1825,s1825
sa136,s1000,s1000
sa1360,s1827,s1827
sa1361,s1831,s1831
sa1362,s1832,s1832
sa1363,s1839,s1839
sa1364,s1840,s1840
sa1365,s1841,s1841
sa1366,s1837,SMAD4
sa1367,s2176,s2176
sa1368,s2177,s2177
sa1369,s2178,s2178
sa1370,s1842,SNAI1
sa1371,s1843,SNAI1
sa1372,s2160,SNAI1
sa1373,s1845,VIM
sa1374,s1846,VIM
sa1376,s1848,VIM
sa1377,s1849,Fibrosis
sa1378,s2187,SNAI1
sa1379,s1853,s1853
sa138,s200,NFKB1
sa1380,s1854,s1854
sa1382,s1855,CASP7
sa1384,s1861,CASP7
sa1385,s1859,CASP8
sa1386,s1863,IL15
sa1387,s1864,s1864
sa1388,s2046,s2046
sa1389,s2047,s2047
sa139,s201,NFKB2
sa1390,s2048,s2048
sa1392,s2022,s2022
sa1393,s2024,s2024
sa1394,s2023,s2023
sa1395,s1873,IL1
sa1396,s1874,IL1R1
sa1397,s1875,s1875
sa1398,s1876,s1876
sa140,s202,NFKB1
sa141,s203,NFKB2
sa1445,s1934,LAMP3
sa1446,s1935,LAMP3
sa1447,s1936,LAMP3
sa1448,s1937,MUC1
sa1451,s1938,"CD80,86"
sa1452,s1939,"CD80,86"
sa1455,s1942,CXCL9
sa1456,s1943,CXCL10
sa1457,s1944,CXCL11
sa1458,s1945,CXCL9
sa1459,s1946,CXCL10
sa1460,s1947,CXCL11
sa1461,s1962,CXCL9
sa1462,s1963,CXCL10
sa1463,s1964,CXCL11
sa1468,s1969,CXCL11
sa1469,s1970,CXCL10
sa147,s2139,s2139
sa1470,s1971,CXCL9
sa1471,s1974,IRF1
sa1472,s1975,IRF5
sa1473,s2189,IRF5
sa1474,s2190,IRF1
sa1476,s1979,CD72
sa1477,s1980,s1980
sa1478,s1981,s1981
sa1479,s1982,s1982
sa1480,s1985,s1985
sa1481,s1986,s1986
sa1482,s1987,s1987
sa1483,s1988,PTPRC
sa1484,s1989,CTLA4
sa1485,s1990,PPP2R1A
sa1487,s1991,PPP2R1A
sa1488,s1994,s1994
sa1489,s1993,s1993
sa1499,s2050,IL2
sa1500,s2051,IL4
sa1501,s2052,IL5
sa1502,s2053,CSF2
sa1504,s2055,IL2
sa1505,s2056,IL4
sa1506,s2057,IL5
sa1507,s2058,CSF2
sa1509,s2060,IL2
sa1510,s2061,IL4
sa1511,s2062,IL5
sa1512,s2063,CSF2
sa1514,s2066,RAC1
sa1517,s2069,RAC1
sa1518,s2070,MAP2K4
sa1519,s2071,MAP2K7
sa1521,s2078,MAP2K7
sa1522,s2079,MAP2K4
sa1523,s2073,MAP3K1
sa1524,s2075,MAP3K1
sa1529,s2087,"MAPK11,12,13,14"
sa1530,s2315,"MAPK11,12,13,14"
sa1535,s2088,CCL3
sa1536,s2089,CCL4
sa1539,s2090,CCL3
sa1540,s2091,CCL4
sa1541,s2092,GNAI
sa1542,s2093,GNAI
sa1543,s2094,BIRC2
sa1544,s2095,CFLAR
sa1545,s2096,XIAP
sa1547,s2097,BCL2L1
sa1548,s2098,BCL2
sa155,s1093,s1093
sa1551,s2101,BCL2A1
sa1552,s2102,GADD45B
sa1554,s2103,IL1B
sa1555,s2106,NFKBIA
sa1556,s2107,PTGS2
sa1557,s2108,CXCL1
sa1558,s2109,CXCL2
sa1559,s2110,CXCL3
sa1560,s2111,VCAM1
sa1561,s2112,CCL13
sa1562,s2113,CCL19
sa1563,s2114,CCL21
sa1564,s2115,CXCL12
sa1566,s2117,BIRC2
sa1567,s2118,CFLAR
sa1568,s2119,XIAP
sa1569,s2120,BCL2L1
sa1570,s2121,BCL2
sa1571,s2122,BCL2A1
sa1572,s2123,IL1B
sa1575,s2126,GADD45B
sa1576,s2127,PTGS2
sa1577,s2128,CXCL1
sa1578,s2129,CXCL2
sa1579,s2130,CXCL3
sa1580,s2131,VCAM1
sa1582,s2132,NFKBIA
sa1583,s2133,CCL13
sa1584,s2134,CCL19
sa1585,s2135,CCL21
sa1586,s2136,CXCL12
sa1589,s2142,s2142
sa1590,s2143,s2143
sa1591,s2144,s2144
sa1594,s2145,s2145
sa1595,s2146,TNFSF10
sa1596,s2148,"TNFRSF10A,B"
sa1597,s2149,s2149
sa1598,s2150,CXCL1
sa1599,s2151,CXCL2
sa16,s23,IRF9
sa1600,s2152,CXCL3
sa1601,s2153,VCAM1
sa1602,s2154,PTGS2
sa1603,s2155,IL1B
sa1604,s2156,CXCL12
sa1605,s2157,CCL13
sa1606,s2158,CCL19
sa1607,s2159,CCL21
sa1608,s2161,BIRC2
sa1609,s2162,CFLAR
sa1610,s2163,MAX
sa1611,s2164,MAX
sa1612,s2165,DUSP5
sa1613,s2166,DUSP6
sa1614,s2167,XIAP
sa1615,s2191,MDM2
sa1616,s2192,GORAB
sa1617,s2194,MDM2
sa1618,s2195,TNFRSF10A
sa1619,s2196,TNFRSF10A
sa1620,s2197,SESN1
sa1621,s2198,RRM2
sa1622,s2199,CD82
sa1623,s2200,SHISA5
sa1624,s2201,SESN1
sa1625,s2202,RRM2
sa1626,s2203,CD82
sa1627,s2204,SHISA5
sa1628,s1613,TP53
sa1629,s2206,IL21
sa163,s1140,s1140
sa164,s1140,s1140
sa1644,s629,BST2
sa1645,s627,XAF1
sa1646,s626,GBP2
sa1647,s622,MX2
sa1648,s621,MX1
sa1649,s732,GBP1
sa1651,s1714,GBP3
sa1652,s731,GBP4
sa1655,s734,GBP6
sa1656,s730,GBP5
sa1682,s2225,CISH
sa1683,s2226,RIPK1
sa1684,s2227,RIPK1
sa1685,s2228,RIPK1
sa1686,s2229,RIPK3
sa1687,s2230,FAS
sa1688,s2231,FAS
sa1689,s2232,MARCHF8
sa169,s239,s239
sa1690,s2233,MARCHF8
sa1691,s2234,XIAP
sa1692,s2235,ETS1
sa1693,s2236,ETS1
sa1694,s2244,ETS1
sa1695,s2238,MMP9
sa1696,s2239,MMP9
sa1697,s2237,ETS1
sa1698,s724,SP100
sa1699,s2242,MMP9
sa170,s239,s239
sa1700,s2245,Matrix_degradation
sa1701,s2246,IL12
sa1702,s2247,s2247
sa1703,s2248,Angiogenesis
sa1704,s2249,KDR
sa1705,s2250,VEGFA
sa1706,s2252,s2252
sa1707,s2253,s2253
sa1708,s2254,MIR181D
sa1709,s2255,GLUT1
sa1710,s2256,GLUT1
sa1711,s2257,GLUT1
sa1712,s2258,IL21
sa1714,s2262,s2262
sa1715,s2261,s2261
sa1716,s2263,s2263
sa1717,s2264,FLT3LG
sa1718,s2265,FLT3
sa1719,s2268,s2268
sa172,s244,s244
sa1720,s2267,s2267
sa1721,s2269,CXCL1
sa1722,s2271,s2271
sa1723,s2272,s2272
sa1725,s2273,"CD80,86"
sa1726,s634,HLA-C
sa1727,s633,HLA-B
sa1728,s632,HLA-A
sa1729,s635,HLA-G
sa173,s245,s245
sa1730,s636,HLA-H
sa1731,s676,HLA-DRA
sa1732,s675,HLA-DRB4
sa1733,s677,HLA-DQA1
sa1734,s678,HLA-DQA2
sa1735,s2274,IFI27
sa1736,s2275,IFI27
sa1737,s2276,IFI27
sa1739,s2279,LXA4
sa174,s251,s251
sa1740,s2280,CCL23
sa1742,s2281,CCL21
sa1743,s2282,XCL1
sa1744,s2283,XCL2
sa1745,s2284,CD80
sa1746,s2285,CD86
sa1747,s2286,s2286
sa1748,s2292,s2292
sa1749,s2288,s2288
sa175,s252,s252
