source_alias,relation,target_alias,source_name,target_name
sa660,POSITIVE,sa1530,MAP2K3,"MAPK11,12,13,14"
sa1686,POSITIVE,sa664,RIPK3,Regulated_Necrosis
sa1686,NEGATIVE,sa668,RIPK3,FADD
sa668,POSITIVE,sa1385,FADD,CASP8
sa1685,POSITIVE,sa668,RIPK1,FADD
sa1685,NEGATIVE,sa1686,RIPK1,RIPK3
sa1575,NEGATIVE,sa671,GADD45B,Apoptosis
sa1571,NEGATIVE,sa671,BCL2A1,Apoptosis
sa1570,NEGATIVE,sa671,BCL2,Apoptosis
sa1569,NEGATIVE,sa671,BCL2L1,Apoptosis
sa1625,NEGATIVE,sa671,RRM2,Apoptosis
sa1098,NEGATIVE,sa671,CDKN1A,Apoptosis
sa1624,NEGATIVE,sa671,SESN1,Apoptosis
sa852,POSITIVE,sa671,CASP3,Apoptosis
sa1384,POSITIVE,sa671,CASP7,Apoptosis
sa1227,POSITIVE,sa671,LMNB1,Apoptosis
sa1542,POSITIVE,sa778,GNAI,PLCB
sa1542,POSITIVE,sa1269,GNAI,SRC
sa811,POSITIVE,sa816,RIGI,MAVS
sa814,POSITIVE,sa816,IFIH1,MAVS
sa1690,NEGATIVE,sa816,MARCHF8,MAVS
sa825,POSITIVE,sa1396,IL1R1,IL1R1
sa851,POSITIVE,sa852,BAD,CASP3
sa851,NEGATIVE,sa1570,BAD,BCL2
sa1316,POSITIVE,sa851,"MAPK8,9,10",BAD
sa1316,NEGATIVE,sa1231,"MAPK8,9,10","NFATC1,2,3"
sa1316,POSITIVE,sa1243,"MAPK8,9,10",JUN
sa1316,POSITIVE,sa1244,"MAPK8,9,10",FOS
sa1385,POSITIVE,sa852,CASP8,CASP3
sa1385,POSITIVE,sa1384,CASP8,CASP7
sa1691,NEGATIVE,sa852,XIAP,CASP3
sa1691,NEGATIVE,sa1384,XIAP,CASP7
sa1762,POSITIVE,sa852,SHISA5,CASP3
sa1566,POSITIVE,sa897,BIRC2,BIRC2
sa1085,POSITIVE,sa1082,IKBIP,IKBIP
sa1210,POSITIVE,sa1085,TP53,IKBIP
sa1210,POSITIVE,sa1098,TP53,CDKN1A
sa1210,POSITIVE,sa1575,TP53,GADD45B
sa1210,POSITIVE,sa1619,TP53,TNFRSF10A
sa1210,POSITIVE,sa1624,TP53,SESN1
sa1210,POSITIVE,sa1625,TP53,RRM2
sa1210,POSITIVE,sa1626,TP53,CD82
sa1210,POSITIVE,sa1627,TP53,SHISA5
sa1210,POSITIVE,sa1688,TP53,FAS
sa1210,POSITIVE,sa1766,TP53,MDM2
sa1771,POSITIVE,sa1145,STAT3 homodimer,IL21
sa1771,POSITIVE,sa1189,STAT3 homodimer,IL17A
sa1771,POSITIVE,sa1569,STAT3 homodimer,BCL2L1
sa1771,POSITIVE,sa1570,STAT3 homodimer,BCL2
sa1476,POSITIVE,sa1154,CD72,PTPN6
sa1202,POSITIVE,sa1184,CCL5,Chemotaxis/Infiltration
sa1202,POSITIVE,sa1703,CCL5,Angiogenesis
sa1201,POSITIVE,sa1184,CCL2,Chemotaxis/Infiltration
